k=8 : a=4, b=60, c=56, length = 240, b == a+c - True, <lcm - True
k=8 : a=98, b=240, c=142, length = 960, b == a+c - True, <lcm - True
k=8 : a=100, b=240, c=140, length = 960, b == a+c - True, <lcm - True
k=8 : a=105, b=240, c=135, length = 960, b == a+c - True, <lcm - True
k=8 : a=107, b=240, c=133, length = 960, b == a+c - True, <lcm - True
k=8 : a=112, b=240, c=128, length = 960, b == a+c - True, <lcm - True
k=8 : a=114, b=240, c=126, length = 960, b == a+c - True, <lcm - True
k=8 : a=119, b=240, c=121, length = 960, b == a+c - True, <lcm - True
k=8 : a=121, b=240, c=119, length = 960, b == a+c - True, <lcm - True
k=8 : a=126, b=240, c=114, length = 960, b == a+c - True, <lcm - True
k=8 : a=128, b=240, c=112, length = 960, b == a+c - True, <lcm - True
k=8 : a=133, b=240, c=107, length = 960, b == a+c - True, <lcm - True
k=8 : a=135, b=240, c=105, length = 960, b == a+c - True, <lcm - True
k=8 : a=140, b=240, c=100, length = 960, b == a+c - True, <lcm - True
k=8 : a=142, b=240, c=98, length = 960, b == a+c - True, <lcm - True
k=8 : a=147, b=240, c=93, length = 960, b == a+c - True, <lcm - True
k=8 : a=149, b=240, c=91, length = 960, b == a+c - True, <lcm - True
k=8 : a=154, b=240, c=86, length = 960, b == a+c - True, <lcm - True
k=8 : a=156, b=240, c=84, length = 960, b == a+c - True, <lcm - True
k=8 : a=161, b=240, c=79, length = 960, b == a+c - True, <lcm - True
k=8 : a=163, b=240, c=77, length = 960, b == a+c - True, <lcm - True
k=8 : a=168, b=240, c=72, length = 960, b == a+c - True, <lcm - True
k=8 : a=170, b=240, c=70, length = 960, b == a+c - True, <lcm - True
k=8 : a=175, b=240, c=65, length = 960, b == a+c - True, <lcm - True
k=8 : a=177, b=240, c=63, length = 960, b == a+c - True, <lcm - True
k=8 : a=182, b=240, c=58, length = 960, b == a+c - True, <lcm - True
k=8 : a=184, b=240, c=56, length = 960, b == a+c - True, <lcm - True
k=8 : a=189, b=240, c=51, length = 960, b == a+c - True, <lcm - True
k=8 : a=191, b=240, c=49, length = 960, b == a+c - True, <lcm - True
k=8 : a=196, b=240, c=44, length = 960, b == a+c - True, <lcm - True
k=8 : a=198, b=240, c=42, length = 960, b == a+c - True, <lcm - True
k=8 : a=203, b=240, c=37, length = 960, b == a+c - True, <lcm - True
k=8 : a=205, b=240, c=35, length = 960, b == a+c - True, <lcm - True
k=8 : a=210, b=240, c=30, length = 960, b == a+c - True, <lcm - True
k=8 : a=212, b=240, c=28, length = 960, b == a+c - True, <lcm - True
k=8 : a=217, b=240, c=23, length = 960, b == a+c - True, <lcm - True
k=8 : a=219, b=240, c=21, length = 960, b == a+c - True, <lcm - True
k=8 : a=224, b=240, c=16, length = 960, b == a+c - True, <lcm - True
k=8 : a=226, b=240, c=14, length = 960, b == a+c - True, <lcm - True
k=8 : a=231, b=240, c=9, length = 960, b == a+c - True, <lcm - True
k=8 : a=233, b=240, c=7, length = 960, b == a+c - True, <lcm - True
k=8 : a=238, b=240, c=2, length = 960, b == a+c - True, <lcm - True
k=8 : a=5, b=245, c=240, length = 980, b == a+c - True, <lcm - True
k=8 : a=120, b=245, c=125, length = 980, b == a+c - True, <lcm - True
k=8 : a=125, b=245, c=120, length = 980, b == a+c - True, <lcm - True
k=8 : a=240, b=245, c=5, length = 980, b == a+c - True, <lcm - True
k=8 : a=120, b=246, c=126, length = 984, b == a+c - True, <lcm - True
k=8 : a=126, b=246, c=120, length = 984, b == a+c - True, <lcm - True
k=8 : a=7, b=247, c=240, length = 988, b == a+c - True, <lcm - True
k=8 : a=240, b=247, c=7, length = 988, b == a+c - True, <lcm - True
k=8 : a=12, b=252, c=240, length = 1008, b == a+c - True, <lcm - True
k=8 : a=60, b=252, c=192, length = 1008, b == a+c - True, <lcm - True
k=8 : a=72, b=252, c=180, length = 1008, b == a+c - True, <lcm - True
k=8 : a=120, b=252, c=132, length = 1008, b == a+c - True, <lcm - True
k=8 : a=132, b=252, c=120, length = 1008, b == a+c - True, <lcm - True
k=8 : a=180, b=252, c=72, length = 1008, b == a+c - True, <lcm - True
k=8 : a=192, b=252, c=60, length = 1008, b == a+c - True, <lcm - True
k=8 : a=240, b=252, c=12, length = 1008, b == a+c - True, <lcm - True
k=8 : a=120, b=253, c=133, length = 1012, b == a+c - True, <lcm - True
k=8 : a=133, b=253, c=120, length = 1012, b == a+c - True, <lcm - True
k=8 : a=14, b=254, c=240, length = 1016, b == a+c - True, <lcm - True
k=8 : a=240, b=254, c=14, length = 1016, b == a+c - True, <lcm - True
k=8 : a=60, b=256, c=196, length = 1024, b == a+c - True, <lcm - True
k=8 : a=196, b=256, c=60, length = 1024, b == a+c - True, <lcm - True
k=8 : a=48, b=258, c=210, length = 1032, b == a+c - True, <lcm - True
k=8 : a=90, b=258, c=168, length = 1032, b == a+c - True, <lcm - True
k=8 : a=168, b=258, c=90, length = 1032, b == a+c - True, <lcm - True
k=8 : a=210, b=258, c=48, length = 1032, b == a+c - True, <lcm - True
k=8 : a=19, b=259, c=240, length = 1036, b == a+c - True, <lcm - True
k=8 : a=120, b=259, c=139, length = 1036, b == a+c - True, <lcm - True
k=8 : a=139, b=259, c=120, length = 1036, b == a+c - True, <lcm - True
k=8 : a=240, b=259, c=19, length = 1036, b == a+c - True, <lcm - True
k=8 : a=120, b=260, c=140, length = 1040, b == a+c - True, <lcm - True
k=8 : a=140, b=260, c=120, length = 1040, b == a+c - True, <lcm - True
k=8 : a=21, b=261, c=240, length = 1044, b == a+c - True, <lcm - True
k=8 : a=240, b=261, c=21, length = 1044, b == a+c - True, <lcm - True
k=8 : a=54, b=264, c=210, length = 1056, b == a+c - True, <lcm - True
k=8 : a=84, b=264, c=180, length = 1056, b == a+c - True, <lcm - True
k=8 : a=180, b=264, c=84, length = 1056, b == a+c - True, <lcm - True
k=8 : a=210, b=264, c=54, length = 1056, b == a+c - True, <lcm - True
k=8 : a=26, b=266, c=240, length = 1064, b == a+c - True, <lcm - True
k=8 : a=120, b=266, c=146, length = 1064, b == a+c - True, <lcm - True
k=8 : a=146, b=266, c=120, length = 1064, b == a+c - True, <lcm - True
k=8 : a=240, b=266, c=26, length = 1064, b == a+c - True, <lcm - True
k=8 : a=120, b=267, c=147, length = 1068, b == a+c - True, <lcm - True
k=8 : a=147, b=267, c=120, length = 1068, b == a+c - True, <lcm - True
k=8 : a=28, b=268, c=240, length = 1072, b == a+c - True, <lcm - True
k=8 : a=240, b=268, c=28, length = 1072, b == a+c - True, <lcm - True
k=8 : a=102, b=270, c=168, length = 1080, b == a+c - True, <lcm - True
k=8 : a=126, b=270, c=144, length = 1080, b == a+c - True, <lcm - True
k=8 : a=144, b=270, c=126, length = 1080, b == a+c - True, <lcm - True
k=8 : a=168, b=270, c=102, length = 1080, b == a+c - True, <lcm - True
k=8 : a=33, b=273, c=240, length = 1092, b == a+c - True, <lcm - True
k=8 : a=120, b=273, c=153, length = 1092, b == a+c - True, <lcm - True
k=8 : a=153, b=273, c=120, length = 1092, b == a+c - True, <lcm - True
k=8 : a=240, b=273, c=33, length = 1092, b == a+c - True, <lcm - True
k=8 : a=120, b=274, c=154, length = 1096, b == a+c - True, <lcm - True
k=8 : a=154, b=274, c=120, length = 1096, b == a+c - True, <lcm - True
k=8 : a=35, b=275, c=240, length = 1100, b == a+c - True, <lcm - True
k=8 : a=240, b=275, c=35, length = 1100, b == a+c - True, <lcm - True
k=8 : a=40, b=280, c=240, length = 1120, b == a+c - True, <lcm - True
k=8 : a=60, b=280, c=220, length = 1120, b == a+c - True, <lcm - True
k=8 : a=100, b=280, c=180, length = 1120, b == a+c - True, <lcm - True
k=8 : a=120, b=280, c=160, length = 1120, b == a+c - True, <lcm - True
k=8 : a=160, b=280, c=120, length = 1120, b == a+c - True, <lcm - True
k=8 : a=180, b=280, c=100, length = 1120, b == a+c - True, <lcm - True
k=8 : a=220, b=280, c=60, length = 1120, b == a+c - True, <lcm - True
k=8 : a=240, b=280, c=40, length = 1120, b == a+c - True, <lcm - True
k=8 : a=120, b=281, c=161, length = 1124, b == a+c - True, <lcm - True
k=8 : a=161, b=281, c=120, length = 1124, b == a+c - True, <lcm - True
k=8 : a=42, b=282, c=240, length = 1128, b == a+c - True, <lcm - True
k=8 : a=72, b=282, c=210, length = 1128, b == a+c - True, <lcm - True
k=8 : a=210, b=282, c=72, length = 1128, b == a+c - True, <lcm - True
k=8 : a=240, b=282, c=42, length = 1128, b == a+c - True, <lcm - True
k=8 : a=60, b=284, c=224, length = 1136, b == a+c - True, <lcm - True
k=8 : a=224, b=284, c=60, length = 1136, b == a+c - True, <lcm - True
k=8 : a=47, b=287, c=240, length = 1148, b == a+c - True, <lcm - True
k=8 : a=120, b=287, c=167, length = 1148, b == a+c - True, <lcm - True
k=8 : a=167, b=287, c=120, length = 1148, b == a+c - True, <lcm - True
k=8 : a=240, b=287, c=47, length = 1148, b == a+c - True, <lcm - True
k=8 : a=78, b=288, c=210, length = 1152, b == a+c - True, <lcm - True
k=8 : a=120, b=288, c=168, length = 1152, b == a+c - True, <lcm - True
k=8 : a=168, b=288, c=120, length = 1152, b == a+c - True, <lcm - True
k=8 : a=210, b=288, c=78, length = 1152, b == a+c - True, <lcm - True
k=8 : a=49, b=289, c=240, length = 1156, b == a+c - True, <lcm - True
k=8 : a=240, b=289, c=49, length = 1156, b == a+c - True, <lcm - True
k=8 : a=112, b=292, c=180, length = 1168, b == a+c - True, <lcm - True
k=8 : a=180, b=292, c=112, length = 1168, b == a+c - True, <lcm - True
k=8 : a=24, b=294, c=270, length = 1176, b == a+c - True, <lcm - True
k=8 : a=30, b=294, c=264, length = 1176, b == a+c - True, <lcm - True
k=8 : a=54, b=294, c=240, length = 1176, b == a+c - True, <lcm - True
k=8 : a=120, b=294, c=174, length = 1176, b == a+c - True, <lcm - True
k=8 : a=144, b=294, c=150, length = 1176, b == a+c - True, <lcm - True
k=8 : a=150, b=294, c=144, length = 1176, b == a+c - True, <lcm - True
k=8 : a=174, b=294, c=120, length = 1176, b == a+c - True, <lcm - True
k=8 : a=240, b=294, c=54, length = 1176, b == a+c - True, <lcm - True
k=8 : a=264, b=294, c=30, length = 1176, b == a+c - True, <lcm - True
k=8 : a=270, b=294, c=24, length = 1176, b == a+c - True, <lcm - True
k=8 : a=120, b=295, c=175, length = 1180, b == a+c - True, <lcm - True
k=8 : a=175, b=295, c=120, length = 1180, b == a+c - True, <lcm - True
k=8 : a=56, b=296, c=240, length = 1184, b == a+c - True, <lcm - True
k=8 : a=240, b=296, c=56, length = 1184, b == a+c - True, <lcm - True
k=8 : a=20, b=300, c=280, length = 1200, b == a+c - True, <lcm - True
k=8 : a=28, b=300, c=272, length = 1200, b == a+c - True, <lcm - True
k=8 : a=48, b=300, c=252, length = 1200, b == a+c - True, <lcm - True
k=8 : a=56, b=300, c=244, length = 1200, b == a+c - True, <lcm - True
k=8 : a=76, b=300, c=224, length = 1200, b == a+c - True, <lcm - True
k=8 : a=84, b=300, c=216, length = 1200, b == a+c - True, <lcm - True
k=8 : a=104, b=300, c=196, length = 1200, b == a+c - True, <lcm - True
k=8 : a=112, b=300, c=188, length = 1200, b == a+c - True, <lcm - True
k=8 : a=132, b=300, c=168, length = 1200, b == a+c - True, <lcm - True
k=8 : a=140, b=300, c=160, length = 1200, b == a+c - True, <lcm - True
k=8 : a=160, b=300, c=140, length = 1200, b == a+c - True, <lcm - True
k=8 : a=168, b=300, c=132, length = 1200, b == a+c - True, <lcm - True
k=8 : a=188, b=300, c=112, length = 1200, b == a+c - True, <lcm - True
k=8 : a=196, b=300, c=104, length = 1200, b == a+c - True, <lcm - True
k=8 : a=216, b=300, c=84, length = 1200, b == a+c - True, <lcm - True
k=8 : a=224, b=300, c=76, length = 1200, b == a+c - True, <lcm - True
k=8 : a=244, b=300, c=56, length = 1200, b == a+c - True, <lcm - True
k=8 : a=252, b=300, c=48, length = 1200, b == a+c - True, <lcm - True
k=8 : a=272, b=300, c=28, length = 1200, b == a+c - True, <lcm - True
